Position,Vol.Wat.Content[%],WC-95%Conf.Int.
3A,14.2488988875571,0.723489764840183
3AB1,14.7960318134226,0.43246041384409
3AB2,14.9572835189973,1.08557577147267
3B,16.0659600954352,0.782977831349153
3C,14.1940361892457,0.783933897230235
3D,15.5499944370791,0.885139844466929
3E,14.3520196278265,0.939198352856087
3F,16.7294624780639,0.974951760966176
3G,17.6155091892689,1.38903577592646
3H,18.5433727641121,1.20623348900423
3I,15.3197989864783,1.20682736591205
3J,14.7381699996668,0.947364597286805
3K,15.2055038642299,0.824408590443419
3L,15.4802131177298,1.36818270866773
3M,15.3859152713255,0.635200085238295
3N,14.6404211347594,0.605985260065749
