Position,Vol.Wat.Content[%],WC-95%Conf.Int.
3A,13.9873600211882,0.894138223337924
3AB1,15.0573780792096,0.781731884028222
3AB2,15.4398287647302,1.45873188524385
3B,16.6283119579583,0.884598899798376
3C,16.656385993163,1.68466292561465
3D,16.3458018443873,1.35955351167338
3E,14.497662239188,1.34015768147892
3F,15.8685628600516,1.41650159405322
3G,16.214007513199,1.43883569979468
3H,17.4391537875122,1.33726491621219
3I,14.5853439306145,1.83786101907251
3J,14.7983536448741,1.28374872665216
3K,14.3174952524515,2.73594421687158
3L,16.8963789107236,1.25446151298155
3M,15.2525404188449,1.60682000583687
3N,15.5017662640221,1.18541740128028
