Position,Vol.Wat.Content[%],WC-95%Conf.Int.
4A,10.8012327171557,2.66575354494298
4B,10.2430812773468,2.01888303983229
4C,8.39469129247615,1.3329886595886
4D,9.19323995915433,2.33924525804046
4E,9.39931298792598,0.472282322095027
4F,12.2403698648969,1.98595835647032
4G,11.8798572764156,1.5865273465187
4H,11.6890837024976,2.77096995766026
4I,11.8952109891994,2.65927765327747
4J,5.2778244671843,1.36661382380834
4K,9.36157732010297,2.45733625814091
4L,9.54539536190931,3.42930282091193
4M,11.9774002557813,2.40877260561289
4N,11.6732589773354,2.6006370400317
4O,11.8589273867034,2.83410895982039
4P,10.8483278239033,4.0082079160553
4Q,6.84880163919673,4.94326737769272
4R,9.69903954067047,1.6405632958994
4S,8.90738171220649,3.12350810209395
